Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.02E+12,457458,452581,-1.125665,53.966141,12,1,1,1,43321,7,0.236111111,189,E06000014,3,59,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013338
2.02E+12,468337,451292,-0.960152,53.953239,12,1,2,4,43138,2,0.841666667,189,E06000014,3,1079,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.02E+12,466780,444918,-0.985262,53.896163,12,1,2,1,43165,1,0.461111111,189,E06000014,5,301,6,60,3,4,6,210,0,0,1,1,1,0,0,2,1,E01013450
2.02E+12,464940,451571,-1.011849,53.956182,12,1,3,3,43256,1,0.4375,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013351
2.02E+12,461849,453628,-1.058531,53.975045,12,1,2,1,42800,7,0.986111111,189,E06000014,3,1036,6,30,3,2,6,3610,0,5,1,1,1,0,0,1,1,E01013387
2.02E+12,463364,458499,-1.034425,54.018633,12,1,2,3,42798,2,0.388888889,189,E06000014,5,92,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013436
2.01E+12,462050,456900,-1.054775,54.004406,12,1,3,5,40491,7,0.034027778,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013408
2.01E+12,461810,448020,-1.060233,53.924633,12,1,1,2,23/09/2006,7,0.034722222,189,E06000014,3,64,6,60,5,3,3,19,0,0,1,1,1,0,0,2,1,E01013365
2.01E+12,464440,452790,-1.019184,53.967179,12,1,2,1,20/09/2006,4,0.005555556,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,5,1,1,0,0,2,1,E01013420
2.01E+12,459120,452930,-1.100242,53.969072,12,1,2,1,38785,1,0.003472222,189,E06000014,6,0,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01013346
2.01E+12,467760,453960,-0.968324,53.97727,12,1,2,2,15/07/2006,7,0.026388889,189,E06000014,3,166,6,60,9,4,6,0,0,0,1,1,1,0,0,2,1,E01013351
