Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
200812D100026,460830,452510,-1.074261,53.965099,12,3,1,1,39722,5,0.040277778,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01013369
2.01E+12,460220,446720,-1.084698,53.913137,12,3,1,1,39814,5,0.027777778,189,E06000014,4,1222,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013450
2.01E+12,461460,448010,-1.065564,53.924585,12,3,1,1,39873,7,0.020138889,189,E06000014,3,19,1,60,1,4,3,64,0,0,4,1,4,0,0,2,1,E01013365
2.02E+12,460126,454134,-1.084697,53.979795,12,3,2,1,43262,3,0.715277778,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01013350
2.01E+12,460850,452490,-1.07396,53.964917,12,3,2,1,39934,2,0.027777778,189,E06000014,6,0,1,30,1,4,6,0,0,8,4,1,1,0,0,1,1,E01013369
2.02E+12,459406,452928,-1.095908,53.96904,12,3,2,1,43350,2,0.729166667,189,E06000014,3,19,6,20,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013346
2.01E+12,462620,451500,-1.047187,53.95581,12,3,1,1,39934,2,0.013888889,189,E06000014,6,0,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,2,
2.01E+12,462720,451280,-1.045709,53.95382,12,3,3,2,39965,3,0,189,E06000014,3,1079,6,30,6,2,6,0,0,5,4,1,1,0,0,1,1,E01013398
2.01E+12,458810,455100,-1.104549,53.988608,12,3,2,3,39995,4,0.007638889,189,E06000014,6,0,6,40,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01013431
2.01E+12,461750,449810,-1.060785,53.940726,12,3,2,1,39995,4,0.013888889,189,E06000014,6,0,1,30,1,4,6,0,0,0,4,1,2,0,0,1,1,E01013360
2.01E+12,461210,454190,-1.068133,53.980152,12,3,2,1,40026,5,0.027777778,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01013406
2.02E+12,460466,451339,-1.080066,53.954638,12,3,2,1,24/12/2018,2,0.920138889,189,E06000014,4,1227,6,30,1,4,6,0,0,0,4,2,2,0,0,1,1,E01033070
2.01E+12,462070,457310,-1.054386,54.008088,12,3,1,1,40057,6,0.038194444,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,2,E01013436
2.01E+12,459120,447850,-1.101224,53.923419,12,3,2,1,40087,7,0.001388889,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013340
2.01E+12,462010,456930,-1.055379,54.00468,12,3,2,1,40087,7,0.013888889,189,E06000014,3,1237,1,60,1,4,6,0,0,0,4,1,1,0,0,2,1,E01013409
2.01E+12,460520,451820,-1.079123,53.958935,12,3,2,1,40148,2,0.03125,189,E06000014,6,0,2,30,9,4,6,0,0,0,1,1,2,0,0,1,1,E01013367
2.01E+12,466310,457930,-0.989565,54.013134,12,3,3,1,40148,2,0.03125,189,E06000014,3,64,6,60,6,4,6,0,0,0,1,1,2,0,0,2,2,E01013437
2.01E+12,464790,455280,-1.013321,53.989512,12,3,2,1,13/01/2009,3,0.028472222,189,E06000014,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013437
2.01E+12,459420,455200,-1.095227,53.989437,12,3,2,1,13/01/2009,3,0.003472222,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01013431
2.01E+12,460430,452800,-1.0803,53.967752,12,3,2,1,13/01/2009,3,0,189,E06000014,6,0,2,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01013368
2.01E+12,458840,449930,-1.105087,53.942143,12,3,2,1,13/01/2009,3,0.027777778,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,2,0,0,1,2,E01013358
2.01E+12,456940,452990,-1.133459,53.969855,12,3,2,4,14/01/2009,4,0.006944444,189,E06000014,3,59,1,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01013339
2.01E+12,464070,455330,-1.02429,53.990051,12,3,2,1,14/01/2009,4,0.020833333,189,E06000014,3,1036,1,30,1,4,3,64,0,0,1,1,1,0,0,2,2,E01013437
2.01E+12,460710,453660,-1.075862,53.975448,12,3,2,1,16/01/2009,6,0.03125,189,E06000014,6,0,6,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01013348
2.01E+12,461480,447990,-1.065263,53.924403,12,3,2,1,18/01/2009,1,0.003472222,189,E06000014,3,64,1,40,1,4,3,19,0,0,1,1,1,0,0,2,1,E01013365
2.01E+12,457360,452640,-1.127123,53.966664,12,3,2,1,19/01/2009,2,0.010416667,189,E06000014,3,59,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01013338
2.02E+12,460989,455804,-1.071206,53.994701,12,3,2,1,27/09/2018,5,0.35,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013407
2.01E+12,459370,459150,-1.09522,54.024941,12,3,1,1,20/01/2009,3,0.006944444,189,E06000014,4,1363,6,60,8,4,6,0,0,0,1,1,2,0,0,2,1,E01013377
2.02E+12,460784,452447,-1.075001,53.964558,12,3,2,1,14/09/2018,6,0.000694444,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013369
2.01E+12,462380,458820,-1.049347,54.021621,12,3,2,1,20/01/2009,3,0.020833333,189,E06000014,6,0,6,60,8,4,6,0,0,0,4,1,1,0,0,2,1,E01013436
2.01E+12,457460,448970,-1.126288,53.933671,12,3,1,2,22/01/2009,5,0.005555556,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01013355
2.02E+12,460644,451551,-1.077312,53.956522,12,3,2,1,43229,4,0.838194444,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01033070
2.01E+12,460300,453570,-1.08213,53.974687,12,3,2,1,22/01/2009,5,0,189,E06000014,4,1363,6,30,9,4,6,0,0,0,1,1,1,0,0,1,2,E01013350
2.01E+12,463970,454550,-1.025978,53.983054,12,3,2,1,24/01/2009,7,0.00625,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013388
2.01E+12,461540,452820,-1.063378,53.967801,12,3,1,1,24/01/2009,7,0.027777778,189,E06000014,3,1036,1,30,1,4,6,0,0,5,4,1,2,0,0,1,1,E01013380
2.01E+12,459140,451230,-1.100266,53.953792,12,3,1,1,26/01/2009,2,0.020833333,189,E06000014,3,59,6,30,3,4,6,0,0,4,1,1,2,0,0,1,2,E01013391
2.01E+12,456270,447510,-1.14468,53.92068,12,3,1,1,26/01/2009,2,0.003472222,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.01E+12,459220,452980,-1.098708,53.96951,12,3,2,1,27/01/2009,3,0.020833333,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,2,E01013346
2.01E+12,458290,448000,-1.113833,53.924861,12,3,2,1,28/01/2009,4,0.002083333,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01013421
2.01E+12,458360,454000,-1.111621,53.978774,12,3,2,1,28/01/2009,4,0.020833333,189,E06000014,3,19,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013433
