Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.02E+12,461323,452491,-1.066777,53.96489,12,2,1,1,13/12/2018,5,0.445833333,189,E06000014,6,0,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01013380
2.02E+12,462317,446855,-1.052775,53.914123,12,2,4,2,43385,2,0.533333333,189,E06000014,3,19,6,40,8,4,6,0,0,0,1,1,1,0,0,2,1,E01013450
2.02E+12,464904,456805,-1.011285,54.00322,12,2,2,1,43445,2,0.720138889,189,E06000014,3,64,6,60,3,4,6,0,0,0,6,2,2,0,0,2,1,E01013437
2.01E+12,465130,451620,-1.008917,53.956579,12,2,2,1,39904,1,0.010416667,189,E06000014,3,1079,3,40,3,2,4,1228,0,0,4,1,2,0,0,2,1,E01013351
2.02E+12,456284,453322,-1.143421,53.972929,12,2,1,2,25/07/2018,4,0.53125,189,E06000014,3,1237,6,40,1,4,3,59,0,0,1,1,1,0,0,2,1,E01013422
2.01E+12,459310,450910,-1.097738,53.950897,12,2,2,2,39965,3,0.026388889,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013417
2.02E+12,454662,447085,-1.169259,53.917052,12,2,2,1,14/12/2018,6,0.041666667,189,E06000014,3,64,3,70,0,-1,3,1237,0,0,6,1,2,0,0,2,1,E01013421
2.02E+12,466264,457905,-0.990301,54.012932,12,2,2,1,21/12/2018,6,0.4125,189,E06000014,3,64,6,60,6,4,6,0,0,0,1,2,2,0,0,2,1,E01013437
2.02E+12,463181,450692,-1.038832,53.9485,12,2,2,1,43446,4,0.711805556,189,E06000014,6,0,6,40,3,4,6,0,0,0,4,1,1,0,0,2,1,E01013378
2.02E+12,460848,452489,-1.074017,53.964928,12,2,2,1,20/12/2018,5,0.502083333,189,E06000014,3,1036,6,30,1,4,6,0,0,0,1,1,2,0,0,1,1,E01013369
2.02E+12,455896,451468,-1.149675,53.95631,12,2,2,1,13/12/2018,5,0.3125,189,E06000014,4,1224,6,30,3,2,-1,-1,0,5,4,1,1,0,0,2,2,E01013421
2.01E+12,458910,452780,-1.103472,53.967748,12,2,2,1,40057,6,0.023611111,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01013390
2.02E+12,459667,451491,-1.092211,53.956096,12,2,2,1,43324,7,0.416666667,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013416
2.02E+12,469704,447998,-0.940074,53.923457,12,2,2,1,13/07/2018,6,0.395833333,189,E06000014,4,1228,6,20,3,4,-1,-1,0,0,1,1,1,0,0,2,1,E01013451
2.02E+12,462213,451275,-1.053461,53.953856,12,2,1,1,43111,5,0.418055556,189,E06000014,3,1079,6,40,0,-1,6,0,0,0,1,2,2,0,0,1,1,E01013403
2.02E+12,461640,452758,-1.061892,53.967251,12,2,2,1,43138,2,0.326388889,189,E06000014,6,0,6,20,3,4,-1,-1,0,0,1,1,1,0,0,1,1,E01013379
2.02E+12,452424,452037,-1.202482,53.961786,12,2,1,1,43321,7,0.176388889,189,E06000014,4,1224,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013421
2.02E+12,456838,451729,-1.135273,53.958553,12,2,1,1,29/10/2018,2,0.107638889,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01013337
2.02E+12,455035,451367,-1.162812,53.955494,12,2,2,1,17/10/2018,4,0.791666667,189,E06000014,4,1224,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01013421
2.02E+12,460690,451876,-1.076547,53.959437,12,2,2,1,26/09/2018,4,0.618055556,189,E06000014,6,0,1,30,0,-1,6,0,0,0,1,9,1,0,0,1,2,E01033070
2.02E+12,458092,448001,-1.11687,53.924912,12,2,2,1,43169,4,0.809722222,189,E06000014,3,64,7,70,5,4,-1,-1,0,0,6,1,1,0,0,2,1,E01013340
2.02E+12,460735,452400,-1.075757,53.964141,12,2,2,1,43443,4,0.645833333,189,E06000014,3,1036,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01013369
2.02E+12,464013,454599,-1.025339,53.983507,12,2,3,1,16/09/2018,1,0.484722222,189,E06000014,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013437
2.02E+12,463011,462361,-1.039012,54.053381,12,2,3,2,18/09/2018,3,0.579166667,189,E06000014,4,1553,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013438
2.02E+12,458271,448927,-1.113969,53.933213,12,2,2,1,18/09/2018,3,0.458333333,189,E06000014,3,1036,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01013355
2.02E+12,460744,453872,-1.075327,53.977368,12,2,1,1,43321,7,0.052083333,189,E06000014,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01013348
